ID,parent_ID,materialNumber,description,quantity,unitPrice,netAmount,tax,grossAmount,totalPrice
10000000-0000-0000-0000-000000000001,11111111-1111-1111-1111-111111111111,MAT-1001,Dell Laptop Latitude 5440,2,50000.00,100000.00,18000.00,118000.00,118000.00
10000000-0000-0000-0000-000000000002,11111111-1111-1111-1111-111111111111,MAT-1002,HP LaserJet Printer Pro,1,15000.00,15000.00,2700.00,17700.00,17700.00
10000000-0000-0000-0000-000000000003,11111111-1111-1111-1111-111111111111,MAT-1003,Wireless Keyboard Logitech,5,1200.00,6000.00,1080.00,7080.00,7080.00
10000000-0000-0000-0000-000000000004,11111111-1111-1111-1111-111111111111,MAT-1004,Wireless Mouse Logitech,5,800.00,4000.00,720.00,4720.00,4720.00
10000000-0000-0000-0000-000000000005,11111111-1111-1111-1111-111111111111,MAT-1005,27 Inch LED Monitor Samsung,2,12000.00,24000.00,4320.00,28320.00,28320.00

10000000-0000-0000-0000-000000000006,22222222-2222-2222-2222-222222222222,MAT-2001,Office Chair Ergonomic,4,7000.00,28000.00,5040.00,33040.00,33040.00
10000000-0000-0000-0000-000000000007,22222222-2222-2222-2222-222222222222,MAT-2002,Wooden Office Table,2,10000.00,20000.00,3600.00,23600.00,23600.00
10000000-0000-0000-0000-000000000008,22222222-2222-2222-2222-222222222222,MAT-2003,Projector Epson XGA,1,25000.00,25000.00,4500.00,29500.00,29500.00
10000000-0000-0000-0000-000000000009,22222222-2222-2222-2222-222222222222,MAT-2004,Conference Speaker System,2,8000.00,16000.00,2880.00,18880.00,18880.00
10000000-0000-0000-0000-000000000010,22222222-2222-2222-2222-222222222222,MAT-2005,Whiteboard Magnetic Large,3,3000.00,9000.00,1620.00,10620.00,10620.00

10000000-0000-0000-0000-000000000011,33333333-3333-3333-3333-333333333333,MAT-3001,Cisco Network Switch 24 Port,2,35000.00,70000.00,12600.00,82600.00,82600.00
10000000-0000-0000-0000-000000000012,33333333-3333-3333-3333-333333333333,MAT-3002,Network CAT6 Cable Box,10,500.00,5000.00,900.00,5900.00,5900.00
10000000-0000-0000-0000-000000000013,33333333-3333-3333-3333-333333333333,MAT-3003,UPS 2 KVA APC,2,12000.00,24000.00,4320.00,28320.00,28320.00
10000000-0000-0000-0000-000000000014,33333333-3333-3333-3333-333333333333,MAT-3004,Server Rack 42U,1,40000.00,40000.00,7200.00,47200.00,47200.00
10000000-0000-0000-0000-000000000015,33333333-3333-3333-3333-333333333333,MAT-3005,Patch Panel 24 Port,3,2500.00,7500.00,1350.00,8850.00,8850.00
